 ROA(C) before interest and depreciation before interest, ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, Operating Gross Margin, Realized Sales Gross Margin, Operating Profit Rate, Pre-tax net Interest Rate, After-tax net Interest Rate, Non-industry income and expenditure/revenue, Continuous interest rate (after tax), Operating Expense Rate, Cash flow rate over revenues
0.469555891,0.527202355,0.522511912,0.619402125,0.61952464,0.999045118,0.797269934,0.809203208,0.30315666,0.781507378,0.000339624,0.464326514
0.523716667,0.56154601,0.568178168,0.626414333,0.626414333,0.999133049,0.79752614,0.80939616,0.303420112,0.781671027,0.000362173,0.471050049
0.521912933,0.564871348,0.568178168,0.609290996,0.609240548,0.999097923,0.797498196,0.809386656,0.303444765,0.781644361,0.000121765,0.468896102
0.503193097,0.559692543,0.550671878,0.603590424,0.603071535,0.999001441,0.797512721,0.809397983,0.303671721,0.781659519,0.000119337,0.467102824
0.48223078,0.544319669,0.536431286,0.618083282,0.618083282,0.999003636,0.797388768,0.809315047,0.303450808,0.781574045,0.000358011,0.462571819
0.476478331,0.533416921,0.527811981,0.604635408,0.604635408,0.998959959,0.797393334,0.809313094,0.303550146,0.781571238,0.000185943,0.467257157
0.469165895,0.547863061,0.516141121,0.61047291,0.61047291,0.99898122,0.797447286,0.80936296,0.303599936,0.781508501,0.000258332,0.467738607
0.48227953,0.552932839,0.540125274,0.619048992,0.619020165,0.999049393,0.797417128,0.809357362,0.303404643,0.781598746,0.000327251,0.462227926
0.464193438,0.526766245,0.5150704,0.605932631,0.605874977,0.998981682,0.797349203,0.809271952,0.303427363,0.781527027,0.000183978,0.460946294
0.475893336,0.540558221,0.52877563,0.600736534,0.600736534,0.998974172,0.797399836,0.80932364,0.303531777,0.78157601,0.000109045,0.464433876
0.503534344,0.5539686,0.551474918,0.620396662,0.620396662,0.999079897,0.797471081,0.809367517,0.303435339,0.78164015,0.00031881,0.46920309
0.478330815,0.545900567,0.53027464,0.604102106,0.604102106,0.998996935,0.797609006,0.809525707,0.303849611,0.781771379,0.000140498,0.461714602
0.496368157,0.549062364,0.545532416,0.61242595,0.612397123,0.99903391,0.797430962,0.809338613,0.303461201,0.781597904,0.000236477,0.467585952
0.520060449,0.56972307,0.563092243,0.636784906,0.636784906,0.999083826,0.797521575,0.80940241,0.3035151,0.781668361,0.00057772,0.472212576
0.488811973,0.546391191,0.537769688,0.623985644,0.623906369,0.999043038,0.797556852,0.809427017,0.303661811,0.781682255,0.000412013,0.485862627
0.532394092,0.580680331,0.574281278,0.608865795,0.608865795,0.999072271,0.797506634,0.809394598,0.303513166,0.781671027,0.000141423,0.468478398
0.525032906,0.566397732,0.576369185,0.619330057,0.619330057,0.99906557,0.797491279,0.809392124,0.303500598,0.781660501,0.000316035,0.468595825
0.489543216,0.54726341,0.535895926,0.607539745,0.607539745,0.999009067,0.79741616,0.809328588,0.303487304,0.781589483,0.000183399,0.460344061
0.481938283,0.546990842,0.53611007,0.618811168,0.618767927,0.998938237,0.797437049,0.809360486,0.303671962,0.781626676,0.000434446,0.461971264
0.540145274,0.582315744,0.582579367,0.625599965,0.625599965,0.999143217,0.79760873,0.809465686,0.303543137,0.781733484,0.000338931,0.469864036
0.523034173,0.563126908,0.570159002,0.607164992,0.607150579,0.999074813,0.797493492,0.809384443,0.303484887,0.781663869,0.000111358,0.493434992
0.505923073,0.56345399,0.552010279,0.602869744,0.602711195,0.99897163,0.797586595,0.809451885,0.303863388,0.781717624,0.000143389,0.471826745
0.480622045,0.487080244,0.534611061,0.617867078,0.617867078,0.999021893,0.797242266,0.809177038,0.30315666,0.78158022,0.000336271,0.469852294
0.474674597,0.534779765,0.527811981,0.605291226,0.605291226,0.998967817,0.797391397,0.80931661,0.303530327,0.781574466,0.000188603,0.4702549
0.489348218,0.552060619,0.53991113,0.606213696,0.606213696,0.998957302,0.797473156,0.809389911,0.303694924,0.781643799,0.000213928,0.470748094
0.47769707,0.541703009,0.53230901,0.619863359,0.620057943,0.999013111,0.797393334,0.80932312,0.303438965,0.781582325,0.000380213,0.46189913
0.463169697,0.537232883,0.515016864,0.601550902,0.601608556,0.998944476,0.79739029,0.809314917,0.303576975,0.781538676,0.000152871,0.463492782
0.521620436,0.575937636,0.566893303,0.620454316,0.620454316,0.999115486,0.797534026,0.809418815,0.303470385,0.78167987,0.000284003,0.474951981
0.50514308,0.563126908,0.561432625,0.602783263,0.602783263,0.998981567,0.797889838,0.809784279,0.304372406,0.782308643,0.000134485,0.46834084
0.488616975,0.542956825,0.542213181,0.609672956,0.609687369,0.999004098,0.797407168,0.809329239,0.303481987,0.781590606,0.000222832,0.471841843
0.529859114,0.586022678,0.5799561,0.63760648,0.63760648,0.999098501,0.797548137,0.809442771,0.30353081,0.781709343,0.000576332,0.470897394
0.474187101,0.53281727,0.524064457,0.620526384,0.620382248,0.99902559,0.797426397,0.809322729,0.303470627,0.781576992,0.000372928,0.485916308
0.496806903,0.570704317,0.543551582,0.602848124,0.602848124,0.999004907,0.7974578,0.809366215,0.303568757,0.781603939,0.000112283,0.459290573
0.52688539,0.571522024,0.57181862,0.619575088,0.619567881,0.999092145,0.797536516,0.80941582,0.303523801,0.781672712,0.000293254,0.476042374
0.484278263,0.548190144,0.53557471,0.605183125,0.605183125,0.998973825,0.79742031,0.809347206,0.303568274,0.781613483,0.000180855,0.462820093
0.48340077,0.549607501,0.53760908,0.615928451,0.615921244,0.998878499,0.797508295,0.809426757,0.303921396,0.781685905,0.000448438,0.460843965
0.538439039,0.583296991,0.582579367,0.622919039,0.622919039,0.99912473,0.797580508,0.809451104,0.303532502,0.781720431,0.000314416,0.474440334
0.502705601,0.55527693,0.55334868,0.605752461,0.605658773,0.999042576,0.797466654,0.809371683,0.303505432,0.781633694,0.000119684,0.472068309
0.49602691,0.555494985,0.544889983,0.601089667,0.60090229,0.998949907,0.797558235,0.809436912,0.303859279,0.781703308,0.000136104,0.458341092
0.496124409,0.582806367,0.559933615,0.607323542,0.607323542,0.999057135,0.797662406,0.809631036,0.303817223,0.781820221,0.000131826,0.466062756
0.522741676,0.591419538,0.589271374,0.606120007,0.606120007,0.999064645,0.797605686,0.8095606,0.303702416,0.781837765,0.000104998,0.469666088
0.446302345,0.53150894,0.499544944,0.595771055,0.595771055,0.998894906,0.797323748,0.809286013,0.303564648,0.781419518,0.000108814,0.463549818
0.503241847,0.549171391,0.559505327,0.603893109,0.603893109,0.999001672,0.797421278,0.809345644,0.303511716,0.781612501,0.000132404,0.463967523
0.501194365,0.541375927,0.545157664,0.60146442,0.60146442,0.998978909,0.797406476,0.809324682,0.303533469,0.781579097,0.000116099,0.472335036
0.479452055,0.551951592,0.535253493,0.600368988,0.600448262,0.998968625,0.797460567,0.809400978,0.303649484,0.781632992,0.000110086,0.462266509
0.484229513,0.546609246,0.53557471,0.605406535,0.605406535,0.999007218,0.797439124,0.809350721,0.303531052,0.781603238,0.000151021,0.463145534
0.384926632,0.410488443,0.429573318,0.586265296,0.586265296,0.998684264,0.796819774,0.808779546,0.303124756,0.780972078,0.000167095,0.456811186
0.479354556,0.532272133,0.531452433,0.606682137,0.606746998,0.998995317,0.797362069,0.809283149,0.303421804,0.781501343,0.000184556,0.466037593
0.517184225,0.551788051,0.571176187,0.606307384,0.606307384,0.999007449,0.797445073,0.809357231,0.303541203,0.781610396,0.000165245,0.473202318
0.492663189,0.550534235,0.542427325,0.604022831,0.604022831,0.998968279,0.79745282,0.809740012,0.303636433,0.781617273,0.000167789,0.476869396
0.500073124,0.607882686,0.547459714,0.613312386,0.613312386,0.999125192,0.798036755,0.809861746,0.304328658,0.781761554,0.000159925,0.545963447
0.504753083,0.581879634,0.576101504,0.605132677,0.605132677,0.999040265,0.797559342,0.809564115,0.303672204,0.781841273,0.000113439,0.46380648
0.527616633,0.594526821,0.589164302,0.602869744,0.602869744,0.998972207,0.797711378,0.809725429,0.304080192,0.781922396,0.000145471,0.458175017
0.524204163,0.579317488,0.573745918,0.605644359,0.605644359,0.999035758,0.797466377,0.809373506,0.303519209,0.781635097,0.000126275,0.463519623
0.506508068,0.563835587,0.555008298,0.611914268,0.611914268,0.999104856,0.797526971,0.809414258,0.303480537,0.78168801,0.000157728,0.465915134
0.530736606,0.597252508,0.581133894,0.610422462,0.610422462,0.999072618,0.797527247,0.809428059,0.303548454,0.781679448,0.000166054,0.46405811
0.470287135,0.527802006,0.523314953,0.600376195,0.600340161,0.998964466,0.797368986,0.809296429,0.303498181,0.781555659,0.000112514,0.458849383
0.50855555,0.563726559,0.564858932,0.603532769,0.603532769,0.999005485,0.797481595,0.809400978,0.303609121,0.781663168,0.00012269,0.462009847
0.493248184,0.550370693,0.542695005,0.605572291,0.605572291,0.999038069,0.79746112,0.809363741,0.30350519,0.781635519,0.000122806,0.467976817
0.479890801,0.535433929,0.533861556,0.598142089,0.598142089,0.998908194,0.797385172,0.809311662,0.303644167,0.78158415,0.00013356,0.461635758
0.546677717,0.599978195,0.600299802,0.612858358,0.612908805,0.999101967,0.797636536,0.809525186,0.303678005,0.781807449,0.000176577,0.475413301
0.520742943,0.562200174,0.577546978,0.606386659,0.606386659,0.999001325,0.797483255,0.809400196,0.303620722,0.781663729,0.000172761,0.473485821
0.480622045,0.543556476,0.532469618,0.603900316,0.603900316,0.998990117,0.79742363,0.809385354,0.303539995,0.781597483,0.000143967,0.46760776
0.485350753,0.54230266,0.541142459,0.600426642,0.600426642,0.998958919,0.797440923,0.809374417,0.303635466,0.781569413,0.000119452,0.502562425
0.488811973,0.543501962,0.536217142,0.60355439,0.603547183,0.999019004,0.797421832,0.8093364,0.30347667,0.781599448,0.000109392,0.466599566
0.517184225,0.576155691,0.565394293,0.604015624,0.603986797,0.99902871,0.797489204,0.809390562,0.303574074,0.781652501,0.000106848,0.460907711
0.5200117,0.58008068,0.566893303,0.609881953,0.609881953,0.999098732,0.797600706,0.80947532,0.303622172,0.781745273,0.000131247,0.467740285
0.529566616,0.58356956,0.575030783,0.609233342,0.609233342,0.999080937,0.797501516,0.809396811,0.303486096,0.781660922,0.000138533,0.463709184
0.480378297,0.5468273,0.533647412,0.600750948,0.600758154,0.998974865,0.797408136,0.809332103,0.303544829,0.781586817,0.000108698,0.464700603
0.507970555,0.563072394,0.565073077,0.602927399,0.602927399,0.998989886,0.797493354,0.809414648,0.303662294,0.781698536,0.000128703,0.477085797
0.49831814,0.562363716,0.549601156,0.605046196,0.605046196,0.999027323,0.797506773,0.809410482,0.303607187,0.781672571,0.000125003,0.471722738
0.460244723,0.509430877,0.507575352,0.595605298,0.595605298,0.998835862,0.797237701,0.809137458,0.303537819,0.781416851,0.00016536,0.464752606
0.521084191,0.586240733,0.573799454,0.612743049,0.61262774,0.999094687,0.797608453,0.809502271,0.303643925,0.781734326,0.000179237,0.470677638
0.520694194,0.539467946,0.56828524,0.605435362,0.605435362,0.998996588,0.797395962,0.809325073,0.30347812,0.781639729,0.000162122,0.467476913
0.483985765,0.546936328,0.535521174,0.604102106,0.604102106,0.999004445,0.797430962,0.809347467,0.303522834,0.781606325,0.000132866,0.472111925
0.492955687,0.551733537,0.542213181,0.604383171,0.604419205,0.999030097,0.797444658,0.809352154,0.303493105,0.781613343,0.000112167,0.464225862
0.514551748,0.578881378,0.566732694,0.608116289,0.608116289,0.999054477,0.797537761,0.809439776,0.303604528,0.781707519,0.000147205,0.468879327
0.519036708,0.57964457,0.570640827,0.606682137,0.606624483,0.999035643,0.797490449,0.809398374,0.303561506,0.781663729,0.000142233,0.466695185
0.501925608,0.562690798,0.548851652,0.602386889,0.602372476,0.999009067,0.797441753,0.809351242,0.303531777,0.781611518,0.000100488,0.464338257
0.496319407,0.554132141,0.546388993,0.600851843,0.600851843,0.998980065,0.797534856,0.809452536,0.303755348,0.781702606,0.000104998,0.464128566
0.479452055,0.527202355,0.536913111,0.603619251,0.603619251,0.998957417,0.797341871,0.809288878,0.303465552,0.781527027,0.000172183,0.480086896
0.46970214,0.539467946,0.524117993,0.609060379,0.609060379,0.998968741,0.797414085,0.809348899,0.303568032,0.781604782,0.000248156,0.461318705
0.438794911,0.494984736,0.495636811,0.585119417,0.585119417,0.998607771,0.797080546,0.809069365,0.303740363,0.781297272,0.000225376,0.462934165
0.464973431,0.55892935,0.517854275,0.599655515,0.599655515,0.998964812,0.797685509,0.809599529,0.304050463,0.781486887,0.000101182,0.460293735
0.49368693,0.55849324,0.560308368,0.602574266,0.602574266,0.99899497,0.797415468,0.809379235,0.303515825,0.781636361,0.000117834,0.461835384
0.46975089,0.52333188,0.52850795,0.602905778,0.602905778,0.998975789,0.797318353,0.809266744,0.303385791,0.781534045,0.000142233,0.462207795
0.488178228,0.538704754,0.542641469,0.602523818,0.602523818,0.998967123,0.797390152,0.809315438,0.303529602,0.781571799,0.000144893,0.462024945
0.528445376,0.571740078,0.578296483,0.61220254,0.61220254,0.999139751,0.797565706,0.80944902,0.303475219,0.781738677,0.000127431,0.474836231
0.4970994,0.556803314,0.549333476,0.603547183,0.603583217,0.99900872,0.797428057,0.809345383,0.303508816,0.781603518,0.000120262,0.464024559
0.517866719,0.568578282,0.568445848,0.61013419,0.610184638,0.999103238,0.797512721,0.809409961,0.303459026,0.781673133,0.000131594,0.468966558
0.491151952,0.552932839,0.541356604,0.608224391,0.608224391,0.999077933,0.797575805,0.809455921,0.303622172,0.781689133,0.00012535,0.465093145
0.501486862,0.55614915,0.556507308,0.609427925,0.609384684,0.999034718,0.797416436,0.809337962,0.303434131,0.781597764,0.000187331,0.459257023
0.52683664,0.5781727,0.580652069,0.605493017,0.605493017,0.99902975,0.797448808,0.809364262,0.303501081,0.781626817,0.00012986,0.463712539
0.524691659,0.582479285,0.569409497,0.611726891,0.611705271,0.999095381,0.797530982,0.809413607,0.303507365,0.781679448,0.000163857,0.46146465
0.524691659,0.572721326,0.567696343,0.608736073,0.608736073,0.99905933,0.797490864,0.80938965,0.303512683,0.781653764,0.000152293,0.471400653
0.486033247,0.537723506,0.5340757,0.597897058,0.597897058,0.998936388,0.797389598,0.809315829,0.303592927,0.781575167,0.000101413,0.462083658
0.434456199,0.481247274,0.498741903,0.596325978,0.596325978,0.998790914,0.797011791,0.809041242,0.303237146,0.781290816,0.000221791,0.473116764
0.43884366,0.538704754,0.490657958,0.602617507,0.60258868,0.998820956,0.797381575,0.809339524,0.303820607,0.781328991,0.000292213,0.460872483
0.446156096,0.548789795,0.497296429,0.593998184,0.594308076,0.998860242,0.797445903,0.809370902,0.303850578,0.781382886,0.000120031,0.459305671
0.462243455,0.516735717,0.514320895,0.599100592,0.599100592,0.998952449,0.797021336,0.808966118,0.302915928,0.781404641,0.000104651,0.461578722
0.495441915,0.546064108,0.54954762,0.600693293,0.600693293,0.998974981,0.797413116,0.809333275,0.303553288,0.781588361,0.000107658,0.467949976
0.547993955,0.603139991,0.592697682,0.614443852,0.614443852,0.999173491,0.797714145,0.80956099,0.303663986,0.781841414,0.000129629,0.475537438
0.50056062,0.54857174,0.551207238,0.603965177,0.603965177,0.999013111,0.797426259,0.809335358,0.303496489,0.781593834,0.000121997,0.466636471
0.494369424,0.542139119,0.549119332,0.603467908,0.603467908,0.998970705,0.797395132,0.809318953,0.30353081,0.781575589,0.000156341,0.471177541
0.510505533,0.560074139,0.562075058,0.608354113,0.608354113,0.999065916,0.797525034,0.809421158,0.303558606,0.781680712,0.000139573,0.478775069
0.494710671,0.545900567,0.549172868,0.607842431,0.607842431,0.999007103,0.797390428,0.809314006,0.303446457,0.781573203,0.000190338,0.464217475
0.506410569,0.566888356,0.555061834,0.605240779,0.605240779,0.999036105,0.797489757,0.809390432,0.303559331,0.781639308,0.000119452,0.479952694
0.494271925,0.542248147,0.542213181,0.604145347,0.604145347,0.999025821,0.797399006,0.809307236,0.303422287,0.781585834,0.000112052,0.463626985
0.506946814,0.557075883,0.561164945,0.608433388,0.608527076,0.999063028,0.797486298,0.809397462,0.303496972,0.781673413,0.000145239,0.467151472
0.481694535,0.515808984,0.535414101,0.606134421,0.606134421,0.999052628,0.797246831,0.80917847,0.303100344,0.78162022,0.000117255,0.464073207
0.473992103,0.522405146,0.531827186,0.599677136,0.599677136,0.998960075,0.797308808,0.80925763,0.303401985,0.781512571,0.00010627,0.46570712
0.466777166,0.520769734,0.527330157,0.603626458,0.603676905,0.998943552,0.797254993,0.809216097,0.303342527,0.781461764,0.000186984,0.462919068
0.521961683,0.569559529,0.5720863,0.604685856,0.604685856,0.999016115,0.797445626,0.809355539,0.303524043,0.781617133,0.000130554,0.466849517
0.50402184,0.565743567,0.557631565,0.608873002,0.608873002,0.99905309,0.797471634,0.809384573,0.303492138,0.781664291,0.00016085,0.461957844
0.50967679,0.566234191,0.559398255,0.607028063,0.607028063,0.99904662,0.797460982,0.809379625,0.303487063,0.78164001,0.000137723,0.460396065
0.474089602,0.514228085,0.529257455,0.605226365,0.605226365,0.998976714,0.797250013,0.809196047,0.3032647,0.78147215,0.000178658,0.485344271
0.45941598,0.534016572,0.511376412,0.61107828,0.610948558,0.998936619,0.797392365,0.809318433,0.303597519,0.781493343,0.0003106,0.459624401
0.465412178,0.545627998,0.518121955,0.600844636,0.600844636,0.998930033,0.797710825,0.809623745,0.304167445,0.781510045,0.000155069,0.461922616
0.478038317,0.527147841,0.530810001,0.599338417,0.599338417,0.998957186,0.797348926,0.809273905,0.303478362,0.781526746,0.00010361,0.465938619
0.492321942,0.534943306,0.544889983,0.602804883,0.602804883,0.999012533,0.797389598,0.809308538,0.303433647,0.781579799,0.000103957,0.466410005
0.493491932,0.538922809,0.548798116,0.602898572,0.602898572,0.998969434,0.797401219,0.809326765,0.303544345,0.781585694,0.000148593,0.46437684
0.473358358,0.517607937,0.529471599,0.596758385,0.596758385,0.998867637,0.797278649,0.809228076,0.303542895,0.781479588,0.000151946,0.469396006
0.536245308,0.593327519,0.595749237,0.609211721,0.609211721,0.999053322,0.797528492,0.809446547,0.303590993,0.781718887,0.000165938,0.479254842
0.477843319,0.543065853,0.530970609,0.601550902,0.601385145,0.998981682,0.797424737,0.809346555,0.303559572,0.781593834,0.000112052,0.464339934
0.495441915,0.551406454,0.546442529,0.606977616,0.606638896,0.999052975,0.797425152,0.809337572,0.303411169,0.781616431,0.000125003,0.463013009
0.479939551,0.539249891,0.535092885,0.603878695,0.603878695,0.998976714,0.79741284,0.809344732,0.303549179,0.781589483,0.000157034,0.463125404
0.465363428,0.530255124,0.518229027,0.603042707,0.603042707,0.998974981,0.797354875,0.809285753,0.303451291,0.781519869,0.000145355,0.465572918
0.488665724,0.532599215,0.54317683,0.599871719,0.599871719,0.998955453,0.797382405,0.809307887,0.303540478,0.781565203,0.000114018,0.467671506
0.455467265,0.499781945,0.507628888,0.603547183,0.603424667,0.998934655,0.79712025,0.809065459,0.303125965,0.781299237,0.000191841,0.462325222
0.505630576,0.555658526,0.555543659,0.605860563,0.605860563,0.999026977,0.797428195,0.809341217,0.303470869,0.78160029,0.000138533,0.463876936
0.446692341,0.511066289,0.498206542,0.59376036,0.59376036,0.99885458,0.797118036,0.809095404,0.303289595,0.781334044,0.000116908,0.463974233
0.489055721,0.554241169,0.539161625,0.6075974,0.606963202,0.999010454,0.797447286,0.809353976,0.303538786,0.781611378,0.000172761,0.461783381
0.587871106,0.622110772,0.621714225,0.628662852,0.628662852,0.999345541,0.797851517,0.809656946,0.303544345,0.781941625,0.000185712,0.486025347
0.485886998,0.538922809,0.534878741,0.604073279,0.604073279,0.998978331,0.797384341,0.809313355,0.303495764,0.781571518,0.000158538,0.461266702
0.497489397,0.555549498,0.548369827,0.598552876,0.598552876,0.998946094,0.797547307,0.809464254,0.303848161,0.781729975,0.000102223,0.463861839
0.484375762,0.531617968,0.536966647,0.608274838,0.608274838,0.999057019,0.797394855,0.809310881,0.303349778,0.781564922,0.000147205,0.478364074
0.461463462,0.532108591,0.513678462,0.609449545,0.609492786,0.998953835,0.797380883,0.809307626,0.303541203,0.781538676,0.000270011,0.460993265
0.453371033,0.51531836,0.503881364,0.596498941,0.596498941,0.998897102,0.797294974,0.809222477,0.303509782,0.781429764,0.000118296,0.464289609
0.46516843,0.54143044,0.515819905,0.600455469,0.600455469,0.998895484,0.797658532,0.809564636,0.304148351,0.781478185,0.000183399,0.460820479
0.489981963,0.559692543,0.543390974,0.602949019,0.602949019,0.999013804,0.797496812,0.809410352,0.303618305,0.781631308,0.000105114,0.468043918
0.48115829,0.525294374,0.532844371,0.598877182,0.598877182,0.998949098,0.7973528,0.809273645,0.30350229,0.781540501,0.00010442,0.464217475
0.494613172,0.539849542,0.547406178,0.601377939,0.601377939,0.998993584,0.797405231,0.809324031,0.303500598,0.781592852,0.000100026,0.46537497
0.43313996,0.477703881,0.488944804,0.59452428,0.59452428,0.998839906,0.797117206,0.80908564,0.303318599,0.781319026,0.000143736,0.469758352
0.475844586,0.517825992,0.529418063,0.597680854,0.597680854,0.998887858,0.797292345,0.8092243,0.303524526,0.781475518,0.000146396,0.474634928
0.520840443,0.57642826,0.578403555,0.605795702,0.605795702,0.999008836,0.797500409,0.809418945,0.303634982,0.781684922,0.000155647,0.476622799
0.472773363,0.538541212,0.526045292,0.599720376,0.599900546,0.998959151,0.797406614,0.809331843,0.303575041,0.781578957,0.00011078,0.46156698
0.501291864,0.564544265,0.552224423,0.605363294,0.605320054,0.999051588,0.797463887,0.809373506,0.303481745,0.781638606,0.000105345,0.466227154
0.474918344,0.53368949,0.529739279,0.601976102,0.601976102,0.99896227,0.797381021,0.809314787,0.303523559,0.781567448,0.000140961,0.462868742
0.470335885,0.536687745,0.524546282,0.602105825,0.602105825,0.99899185,0.797409796,0.809344472,0.303512199,0.781581483,0.000113324,0.463529688
0.468629649,0.509976014,0.522886664,0.596909728,0.596909728,0.998904266,0.797300507,0.809236408,0.303504465,0.781486185,0.000117834,0.461196246
0.388192853,0.416648495,0.424808609,0.596160221,0.595900777,0.998796922,0.796771632,0.808693225,0.30280523,0.780905973,0.000208955,0.460166243
0.512748013,0.561655037,0.558862894,0.605197538,0.605197538,0.999029865,0.797442306,0.809349029,0.30348948,0.781609834,0.000124887,0.46527935
0.440549895,0.497492368,0.467102093,0.593954943,0.593954943,0.998856545,0.797233135,0.808984216,0.303486579,0.781057692,0.000118065,0.461447875
0.485984498,0.551024858,0.53611007,0.605219159,0.60510385,0.99900976,0.797447425,0.809355669,0.303540478,0.781614185,0.000143621,0.464755962
0.599132258,0.638246838,0.637239681,0.628396201,0.628396201,0.999357673,0.797842525,0.809670226,0.303503015,0.781955519,0.000169292,0.488555061
0.489250719,0.542793284,0.536966647,0.603143603,0.603143603,0.998988384,0.797402741,0.809324161,0.303507124,0.781583168,0.00013356,0.461642468
