cliente_id,respuesta,cobertura,genero,estado,prima_mensual,meses_sin_reclamo,meses_poliza,reclamos,polizas,poliza_tipo,canal
UL64533,No,Extended,M,Married,237,1,14,0,6,Corporate Auto,Agent
PF41800,No,Basic,M,Married,65,19,56,0,3,Personal Auto,Call Center
AO98601,No,Basic,M,Married,63,28,17,0,6,Corporate Auto,Agent
SK67821,No,Basic,F,Married,62,19,42,0,8,Corporate Auto,Web
YV55495,No,Basic,F,Married,71,11,40,0,6,Personal Auto,Branch
KY38074,No,Premium,M,Married,117,10,62,0,2,Personal Auto,Agent
DM79012,No,Extended,F,Married,91,19,86,0,8,Personal Auto,Web
CM61827,No,Extended,M,Single,90,7,79,0,1,Personal Auto,Agent
WC35801,No,Basic,M,Divorced,66,4,15,2,1,Personal Auto,Call Center
QG25316,No,Basic,F,Married,70,7,1,1,1,Corporate Auto,Call Center
MB98372,Yes,Basic,F,Single,71,3,32,0,1,Corporate Auto,Agent
IL19217,Yes,Extended,F,Married,99,12,28,0,1,Personal Auto,Agent
SR38658,No,Basic,M,Married,103,15,16,0,2,Personal Auto,Agent
DH41343,No,Basic,M,Married,61,15,56,0,1,Special Auto,Call Center
HG65722,No,Premium,F,Married,172,5,4,3,3,Personal Auto,Branch
BU27331,No,Basic,M,Single,73,7,57,3,5,Personal Auto,Call Center
XM45289,No,Basic,F,Single,71,7,10,0,4,Personal Auto,Agent
KP34198,No,Extended,F,Married,92,11,77,0,1,Corporate Auto,Call Center
SH90947,No,Basic,F,Married,62,11,56,0,1,Personal Auto,Branch
WE95729,No,Basic,M,Married,104,1,28,0,2,Personal Auto,Agent
PY51963,Yes,Basic,F,Divorced,106,18,95,0,2,Corporate Auto,Web
RB69909,No,Basic,F,Married,69,4,40,3,2,Special Auto,Branch
XR95069,No,Basic,M,Single,64,19,44,0,3,Personal Auto,Agent
FR46645,No,Premium,M,Married,113,20,26,0,1,Personal Auto,Branch
SY17488,No,Extended,F,Divorced,91,1,53,0,3,Corporate Auto,Call Center
AP67935,No,Basic,M,Married,64,24,59,0,2,Special Auto,Branch
FS37417,No,Basic,F,Married,101,29,12,0,1,Personal Auto,Call Center
ML29312,No,Extended,F,Divorced,124,34,47,2,1,Personal Auto,Call Center
UB61619,No,Premium,F,Divorced,108,4,98,0,1,Personal Auto,Agent
CD86811,Yes,Basic,M,Divorced,65,1,36,1,3,Personal Auto,Agent
RU83859,No,Premium,F,Married,105,4,50,0,6,Personal Auto,Call Center
FG63582,No,Extended,M,Single,94,20,53,0,1,Personal Auto,Agent
NN71951,No,Basic,F,Married,100,0,86,0,2,Personal Auto,Agent
WB37082,No,Basic,F,Single,63,21,28,0,2,Personal Auto,Branch
SM52139,No,Basic,M,Married,73,29,71,0,1,Personal Auto,Web
FL82372,No,Basic,F,Divorced,112,7,60,0,3,Corporate Auto,Agent
DP45816,No,Extended,F,Married,97,5,65,0,2,Personal Auto,Branch
GW33762,Yes,Extended,F,Divorced,95,13,20,0,5,Personal Auto,Call Center
RZ33670,No,Premium,F,Married,102,17,0,0,2,Personal Auto,Web
PY70169,No,Basic,M,Divorced,113,17,12,0,2,Personal Auto,Agent
MO91628,No,Basic,M,Married,65,29,27,0,1,Personal Auto,Web
HW87852,No,Basic,M,Married,64,1,47,2,1,Personal Auto,Agent
HB20453,No,Basic,M,Single,104,30,3,1,5,Personal Auto,Agent
BN87372,Yes,Basic,M,Divorced,65,5,68,3,9,Personal Auto,Branch
YX23800,No,Basic,M,Married,73,27,38,0,2,Personal Auto,Branch
DZ87709,No,Basic,F,Single,71,17,48,0,6,Personal Auto,Call Center
XW13033,No,Basic,M,Married,67,20,33,0,2,Personal Auto,Agent
LN31673,No,Extended,M,Married,99,6,83,2,2,Personal Auto,Agent
OM82309,No,Basic,M,Single,186,0,30,1,2,Personal Auto,Branch
ZU35962,No,Extended,F,Single,77,20,26,0,2,Personal Auto,Branch
VH85817,Yes,Basic,M,Single,74,23,0,0,8,Personal Auto,Call Center
DT85712,No,Basic,M,Married,102,12,54,0,1,Personal Auto,Branch
YJ88573,No,Basic,M,Married,63,35,15,0,1,Personal Auto,Call Center
SQ19467,No,Extended,F,Single,90,28,69,0,3,Personal Auto,Agent
HF88410,No,Basic,M,Married,66,15,32,1,2,Personal Auto,Call Center
ET79815,Yes,Extended,M,Married,96,28,90,5,5,Personal Auto,Agent
QC35222,No,Basic,F,Married,69,3,79,3,1,Corporate Auto,Web
CJ15590,No,Basic,F,Divorced,67,13,12,0,1,Personal Auto,Branch
OI48267,Yes,Extended,M,Married,76,15,60,1,4,Personal Auto,Branch
JY67916,No,Premium,M,Married,119,21,81,1,2,Personal Auto,Branch
OE75231,Yes,Extended,F,Married,88,7,3,0,2,Corporate Auto,Call Center
CZ33664,No,Basic,F,Married,63,24,84,0,1,Corporate Auto,Agent
WK30175,No,Basic,M,Married,67,23,88,0,1,Corporate Auto,Branch
ON44465,No,Extended,F,Single,77,8,10,1,9,Personal Auto,Agent
TV87155,No,Basic,F,Married,74,2,26,1,2,Personal Auto,Branch
KH48895,No,Basic,F,Married,109,12,18,0,9,Personal Auto,Branch
NZ30757,No,Basic,M,Married,62,29,11,0,8,Personal Auto,Agent
RI22468,No,Basic,F,Married,74,30,87,3,9,Personal Auto,Web
FZ30935,No,Extended,M,Married,76,11,60,0,7,Personal Auto,Agent
UG93476,Yes,Basic,F,Married,107,3,65,0,3,Personal Auto,Agent
AB96670,Yes,Basic,M,Single,70,24,10,0,1,Personal Auto,Branch
XK64261,No,Basic,M,Single,62,2,85,1,3,Corporate Auto,Call Center
EV68375,Yes,Premium,M,Married,107,9,18,0,1,Personal Auto,Branch
UN51653,No,Extended,F,Single,130,28,88,0,4,Personal Auto,Web
TO96662,No,Extended,F,Married,88,29,93,0,9,Personal Auto,Call Center
MR52087,No,Basic,F,Married,65,13,34,0,2,Personal Auto,Branch
DE75225,No,Basic,M,Married,117,5,89,1,3,Personal Auto,Agent
EP80820,No,Basic,F,Married,74,17,32,0,9,Personal Auto,Agent
GU99037,No,Basic,M,Married,62,5,86,1,1,Corporate Auto,Agent
WI57118,No,Extended,M,Married,85,4,18,0,7,Personal Auto,Agent
YQ74870,No,Extended,M,Divorced,98,16,2,1,8,Corporate Auto,Web
MQ14219,No,Basic,M,Married,109,19,54,0,7,Personal Auto,Branch
KN20603,No,Basic,M,Single,66,16,32,2,2,Personal Auto,Agent
CR48975,No,Basic,M,Married,67,0,54,0,2,Personal Auto,Branch
JI70886,No,Basic,M,Married,102,11,70,1,3,Corporate Auto,Agent
VF72557,Yes,Extended,M,Divorced,133,35,90,0,1,Personal Auto,Agent
OX28638,No,Extended,M,Married,86,35,77,0,9,Personal Auto,Branch
SK55033,No,Basic,F,Single,62,24,10,0,1,Personal Auto,Agent
OO88645,No,Extended,F,Married,78,10,90,2,1,Corporate Auto,Call Center
YT36855,No,Extended,M,Married,83,26,89,0,1,Personal Auto,Web
CW82151,No,Basic,M,Married,112,6,3,0,9,Personal Auto,Call Center
DY22043,No,Basic,F,Married,68,17,77,0,7,Personal Auto,Branch
SH36774,No,Basic,M,Single,192,9,77,0,3,Personal Auto,Web
EM43724,No,Basic,F,Married,63,17,11,0,1,Personal Auto,Agent
FH85960,No,Premium,M,Divorced,113,10,27,1,2,Personal Auto,Call Center
XA55993,No,Extended,F,Single,78,20,26,0,1,Personal Auto,Branch
GO36627,No,Extended,M,Married,97,29,37,0,1,Special Auto,Branch
QH48047,Yes,Basic,M,Divorced,66,13,43,0,2,Personal Auto,Web
RB50392,No,Basic,F,Married,69,9,12,0,2,Personal Auto,Agent
UH65059,No,Basic,M,Married,109,14,82,0,1,Personal Auto,Agent
FV21968,No,Basic,F,Married,74,14,8,0,8,Special Auto,Branch
QA87025,No,Basic,F,Married,72,16,35,1,4,Personal Auto,Call Center
TQ13499,No,Premium,M,Married,118,32,99,0,1,Personal Auto,Agent
BU44523,No,Basic,F,Single,74,15,91,0,2,Corporate Auto,Web
MS41162,No,Basic,M,Single,117,6,1,0,1,Personal Auto,Agent
PU25891,No,Basic,F,Married,119,5,83,0,3,Special Auto,Branch
RB81636,No,Basic,F,Single,63,2,5,0,1,Personal Auto,Agent
SX26335,No,Extended,F,Married,79,0,70,0,2,Personal Auto,Branch
AZ95587,No,Extended,F,Single,89,20,55,0,2,Special Auto,Branch
DS81757,No,Basic,M,Single,74,7,20,0,1,Personal Auto,Web
OJ94107,No,Premium,M,Married,140,9,54,0,1,Personal Auto,Call Center
LP84436,No,Extended,F,Single,127,30,11,0,6,Personal Auto,Branch
YV64727,No,Premium,M,Married,168,28,49,0,1,Corporate Auto,Agent
LM19287,Yes,Extended,F,Married,96,31,34,0,1,Personal Auto,Agent
ZU18643,No,Extended,M,Married,92,34,30,0,1,Corporate Auto,Web
AZ82578,No,Basic,F,Married,72,7,75,0,2,Corporate Auto,Call Center
XC67861,No,Basic,F,Divorced,67,24,51,3,4,Corporate Auto,Call Center
YC43143,No,Extended,F,Married,99,0,21,0,3,Personal Auto,Web
EK59571,Yes,Premium,M,Married,105,3,92,0,1,Corporate Auto,Branch
GD83998,No,Basic,M,Single,70,29,65,0,1,Personal Auto,Branch
WA25797,Yes,Basic,M,Married,107,29,29,0,9,Personal Auto,Agent
PD27940,No,Extended,M,Married,126,11,7,0,1,Personal Auto,Agent
BS77946,No,Extended,F,Married,127,2,5,0,3,Personal Auto,Branch
YM50253,No,Basic,F,Single,74,17,90,0,1,Personal Auto,Branch
NR15332,No,Basic,M,Married,65,13,55,0,1,Personal Auto,Web
RC62865,No,Extended,M,Single,92,28,89,0,1,Personal Auto,Agent
CC15295,No,Extended,F,Married,82,14,27,0,2,Personal Auto,Agent
KA61892,Yes,Basic,M,Married,105,18,50,0,1,Personal Auto,Agent
OS94884,No,Basic,F,Married,64,14,8,1,2,Personal Auto,Web
ND87334,No,Basic,M,Married,63,1,5,0,1,Corporate Auto,Agent
ML93326,No,Basic,F,Married,111,7,63,0,1,Personal Auto,Agent
YL74911,Yes,Basic,F,Divorced,118,14,64,0,4,Personal Auto,Agent
JP69864,Yes,Basic,F,Single,63,7,63,1,1,Personal Auto,Branch
HL53154,No,Extended,M,Single,77,15,12,2,2,Personal Auto,Agent
RI78966,No,Basic,M,Married,68,12,28,0,2,Personal Auto,Agent
IC13702,No,Basic,F,Single,69,33,61,1,2,Personal Auto,Agent
BE10809,Yes,Basic,F,Single,61,17,1,1,7,Personal Auto,Agent
HT87217,No,Extended,F,Divorced,82,1,57,0,2,Personal Auto,Agent
TH95618,No,Basic,F,Married,74,11,85,1,2,Personal Auto,Agent
TS19868,No,Basic,M,Married,63,20,0,0,1,Personal Auto,Branch
LP45550,No,Premium,F,Divorced,101,30,99,0,2,Personal Auto,Agent
QR87004,No,Basic,F,Divorced,73,12,4,1,2,Personal Auto,Agent
OE75747,No,Basic,F,Married,61,5,46,3,1,Personal Auto,Agent
DX91392,Yes,Basic,M,Single,74,23,0,0,8,Personal Auto,Call Center
AB72731,No,Basic,F,Married,117,24,37,0,1,Personal Auto,Call Center
RU49126,No,Basic,F,Married,112,1,48,0,1,Personal Auto,Agent
IS12901,No,Basic,F,Married,74,3,47,0,8,Personal Auto,Call Center
IX37561,No,Basic,F,Single,74,3,95,0,7,Personal Auto,Web
HH90090,No,Basic,F,Divorced,104,17,51,0,1,Personal Auto,Call Center
IU25463,No,Premium,F,Married,115,12,17,1,2,Personal Auto,Agent
KC11055,No,Extended,F,Married,217,4,29,2,4,Personal Auto,Branch
PD33979,No,Basic,M,Married,62,28,17,0,3,Personal Auto,Branch
NK71023,No,Extended,M,Single,85,23,57,0,2,Personal Auto,Agent
AB13432,No,Basic,M,Single,110,3,16,0,1,Personal Auto,Agent
OZ97704,No,Basic,F,Single,111,11,98,4,2,Personal Auto,Call Center
UF46533,No,Basic,F,Single,114,26,53,0,1,Corporate Auto,Branch
XP47431,Yes,Extended,F,Married,138,20,11,0,1,Personal Auto,Agent
GK73582,No,Extended,F,Single,76,3,17,0,1,Personal Auto,Branch
RV98763,No,Extended,M,Married,82,5,41,2,7,Personal Auto,Branch
II62831,No,Basic,M,Married,111,12,79,1,1,Special Auto,Web
XK33449,No,Basic,F,Single,69,5,40,0,1,Special Auto,Branch
TR85083,No,Basic,M,Married,70,27,34,1,1,Personal Auto,Branch
EO95328,No,Basic,F,Married,67,7,31,3,2,Personal Auto,Agent
EN21086,No,Basic,F,Divorced,63,6,12,0,2,Personal Auto,Branch
YL83902,No,Extended,F,Married,81,11,33,0,1,Personal Auto,Agent
AZ62651,No,Premium,M,Single,255,12,1,0,1,Corporate Auto,Web
ZW25874,No,Basic,M,Single,67,3,45,2,1,Special Auto,Branch
EH41854,No,Extended,F,Single,96,12,35,1,2,Personal Auto,Branch
MW70227,Yes,Extended,M,Married,76,15,60,1,4,Personal Auto,Branch
SL22297,No,Premium,F,Single,150,30,28,0,3,Personal Auto,Call Center
RV14138,Yes,Extended,F,Single,123,1,67,3,1,Personal Auto,Agent
UO62808,No,Basic,F,Married,69,4,54,0,1,Corporate Auto,Call Center
ZX64745,No,Basic,M,Single,113,20,1,0,7,Personal Auto,Agent
FL34139,No,Basic,M,Single,63,0,54,3,7,Personal Auto,Call Center
TS11219,No,Basic,M,Single,116,14,35,0,2,Personal Auto,Agent
XX12304,No,Basic,F,Married,72,16,64,0,1,Personal Auto,Branch
SD64087,No,Premium,M,Married,190,13,53,0,3,Corporate Auto,Branch
OY38576,No,Basic,F,Divorced,116,10,0,0,3,Corporate Auto,Agent
BG76355,No,Extended,F,Married,78,15,6,0,3,Personal Auto,Web
IP66913,No,Extended,M,Single,98,12,34,0,1,Personal Auto,Agent
LE95702,Yes,Basic,M,Single,67,28,22,0,5,Special Auto,Agent
KX54357,No,Extended,M,Married,95,4,69,0,2,Corporate Auto,Web
EZ78112,No,Basic,F,Single,70,2,35,0,3,Special Auto,Agent
XN16891,No,Basic,M,Divorced,74,7,67,0,1,Personal Auto,Agent
XK31350,No,Extended,F,Married,85,6,23,0,3,Corporate Auto,Call Center
CC30924,No,Premium,M,Married,159,20,71,0,1,Corporate Auto,Agent
IT78748,Yes,Extended,F,Married,84,1,9,0,6,Special Auto,Agent
KY33386,Yes,Basic,F,Divorced,112,12,93,0,3,Personal Auto,Web
CO44221,No,Basic,M,Married,72,19,69,0,1,Personal Auto,Branch
LK60013,No,Basic,F,Married,74,1,72,0,3,Personal Auto,Branch
DE21533,No,Basic,M,Divorced,69,1,96,0,8,Personal Auto,Call Center
YS94121,No,Basic,M,Divorced,72,9,5,0,9,Personal Auto,Call Center
UK68427,Yes,Extended,M,Single,83,30,72,0,7,Personal Auto,Branch
TE49565,No,Basic,F,Married,103,23,53,0,2,Personal Auto,Call Center
RA88421,No,Extended,F,Married,77,7,50,0,5,Personal Auto,Branch
KQ51983,No,Basic,M,Single,74,2,42,0,9,Personal Auto,Branch
CD88896,Yes,Basic,F,Single,65,15,58,0,1,Corporate Auto,Agent
YV22553,No,Basic,M,Married,114,13,72,2,9,Corporate Auto,Agent
WU14435,No,Basic,M,Married,66,8,16,0,9,Corporate Auto,Agent
XV84099,Yes,Basic,F,Married,73,18,45,0,5,Corporate Auto,Call Center
RI24911,Yes,Basic,M,Single,64,10,61,0,2,Personal Auto,Agent
KO26461,No,Extended,M,Married,90,18,70,0,2,Personal Auto,Agent
HI14283,No,Premium,F,Married,152,12,89,0,1,Personal Auto,Web
PT50227,No,Basic,M,Married,68,19,16,0,8,Personal Auto,Call Center
BH36570,No,Basic,M,Married,73,3,84,0,8,Personal Auto,Branch
TX17484,No,Basic,F,Married,63,12,30,0,2,Personal Auto,Web
CT41158,No,Extended,M,Divorced,136,8,77,0,3,Corporate Auto,Branch
AO87348,No,Basic,M,Single,61,18,26,0,1,Personal Auto,Agent
DE55857,No,Basic,F,Single,63,7,99,1,1,Personal Auto,Agent
LF66923,No,Basic,F,Married,66,18,42,0,3,Corporate Auto,Agent
CN24514,No,Basic,F,Married,67,22,77,0,2,Personal Auto,Agent
UW32074,No,Basic,F,Divorced,64,13,64,0,4,Corporate Auto,Branch
HP36979,No,Extended,M,Married,84,6,37,5,5,Personal Auto,Web
PP40919,No,Extended,F,Single,91,2,8,5,1,Personal Auto,Agent
RO73268,No,Extended,M,Divorced,86,6,84,0,1,Corporate Auto,Agent
HO61691,No,Basic,F,Divorced,64,4,38,0,3,Personal Auto,Agent
BS13062,No,Extended,F,Married,81,3,60,2,2,Personal Auto,Call Center
FO35655,No,Extended,M,Single,245,34,83,0,1,Corporate Auto,Branch
HR10526,No,Basic,M,Married,67,13,79,0,2,Personal Auto,Call Center
IA63417,No,Premium,F,Divorced,108,13,66,0,1,Personal Auto,Web
BH35016,No,Basic,F,Divorced,70,35,98,0,2,Personal Auto,Call Center
PK52952,No,Basic,M,Single,109,13,13,0,8,Personal Auto,Call Center
OD76309,Yes,Basic,F,Divorced,106,25,54,1,3,Personal Auto,Agent
IL28481,No,Extended,M,Married,77,21,73,0,3,Personal Auto,Call Center
GY55092,Yes,Extended,M,Divorced,133,35,90,0,1,Personal Auto,Agent
UF33451,No,Extended,F,Married,135,5,64,0,4,Personal Auto,Agent
CF15558,No,Basic,F,Married,63,18,83,1,4,Personal Auto,Call Center
JM62924,No,Extended,M,Married,84,2,0,2,2,Personal Auto,Branch
EM66435,No,Basic,F,Divorced,65,30,28,0,1,Corporate Auto,Agent
QX45933,No,Basic,M,Married,62,32,59,0,2,Personal Auto,Agent
JI71369,No,Basic,F,Married,64,2,4,0,5,Personal Auto,Web
JU93290,No,Basic,F,Divorced,68,28,77,0,2,Personal Auto,Web
GU66096,No,Basic,M,Married,67,23,65,0,4,Personal Auto,Agent
UC33108,No,Extended,M,Married,83,17,83,0,6,Personal Auto,Agent
LW93867,No,Basic,M,Married,63,0,40,0,4,Corporate Auto,Web
OU78470,No,Extended,F,Single,94,28,7,0,2,Corporate Auto,Call Center
XW90265,No,Basic,F,Married,72,21,86,0,8,Personal Auto,Agent
HS67749,No,Extended,M,Married,86,15,56,0,3,Corporate Auto,Agent
VZ51506,No,Basic,F,Single,103,20,43,0,1,Corporate Auto,Call Center
UI64281,No,Basic,F,Married,65,8,32,0,2,Personal Auto,Call Center
AE98193,No,Basic,M,Single,113,19,10,0,7,Personal Auto,Branch
AZ74055,No,Premium,M,Married,103,2,27,0,1,Personal Auto,Call Center
XS76911,No,Extended,F,Married,133,3,89,0,1,Personal Auto,Agent
AY40674,No,Extended,F,Married,128,6,46,4,1,Personal Auto,Agent
NA12740,No,Basic,M,Married,65,15,53,0,3,Special Auto,Web
UA84837,No,Premium,M,Divorced,111,30,1,0,5,Corporate Auto,Branch
DJ51510,No,Premium,F,Married,116,0,50,0,4,Personal Auto,Agent
VM58985,No,Extended,M,Single,76,33,36,2,2,Personal Auto,Branch
OH60605,No,Extended,F,Married,92,2,85,0,1,Personal Auto,Branch
UO98052,No,Extended,M,Single,89,13,45,0,5,Personal Auto,Web
NC53424,No,Basic,M,Married,69,21,70,4,3,Personal Auto,Web
LQ13873,No,Basic,M,Married,71,27,34,1,6,Personal Auto,Agent
LA97014,No,Basic,M,Married,66,19,14,1,1,Personal Auto,Agent
NB79936,No,Premium,M,Single,108,14,79,0,3,Personal Auto,Branch
NT89061,No,Extended,F,Married,78,25,87,0,3,Personal Auto,Call Center
AF10970,No,Basic,F,Married,73,23,90,0,3,Corporate Auto,Call Center
ZG48513,No,Basic,M,Single,72,0,86,0,7,Personal Auto,Agent
JQ59145,No,Basic,M,Married,114,9,72,1,5,Personal Auto,Agent
FE84989,No,Basic,M,Married,63,7,39,0,5,Personal Auto,Call Center
JT52858,No,Premium,F,Married,112,33,75,1,8,Personal Auto,Branch
MC62068,No,Extended,M,Married,91,19,30,0,3,Personal Auto,Agent
EU27538,No,Extended,M,Married,225,21,35,0,8,Personal Auto,Branch
RH42306,No,Basic,F,Single,71,6,5,0,3,Corporate Auto,Web
US23612,No,Premium,F,Married,118,17,6,0,6,Personal Auto,Call Center
WV76014,No,Basic,M,Single,64,21,77,0,1,Special Auto,Branch
RK96223,No,Basic,M,Married,110,34,49,1,2,Personal Auto,Agent
MF82000,No,Basic,F,Married,66,25,51,2,1,Special Auto,Branch
FM46980,No,Basic,M,Married,72,0,60,0,9,Personal Auto,Branch
SY56792,No,Premium,M,Divorced,101,16,88,0,8,Corporate Auto,Web
RF61565,No,Basic,M,Married,67,33,27,0,1,Personal Auto,Agent
IM94808,No,Basic,M,Married,68,15,69,0,8,Corporate Auto,Web
VI14730,Yes,Basic,M,Married,117,17,41,1,9,Personal Auto,Web
YR34119,No,Basic,F,Married,112,7,65,0,2,Personal Auto,Agent
RR77985,No,Extended,F,Single,80,24,95,0,1,Personal Auto,Call Center
VC22097,Yes,Basic,F,Divorced,118,14,64,0,4,Corporate Auto,Agent
WV17090,No,Basic,M,Married,116,0,45,0,2,Corporate Auto,Call Center
TM23514,No,Extended,M,Single,132,8,28,0,3,Personal Auto,Web
MQ68407,Yes,Premium,F,Divorced,111,18,63,0,1,Personal Auto,Agent
GJ59592,Yes,Basic,F,Married,67,3,0,0,6,Corporate Auto,Call Center
FY56083,No,Basic,M,Married,61,5,48,1,6,Personal Auto,Agent
UA94723,Yes,Basic,F,Married,110,6,62,0,1,Personal Auto,Agent
FW91032,No,Basic,M,Married,73,3,19,0,6,Corporate Auto,Agent
DE34457,No,Basic,F,Married,116,8,47,0,3,Personal Auto,Call Center
HD32044,No,Premium,F,Divorced,106,10,97,2,3,Corporate Auto,Branch
HH30454,No,Premium,M,Single,153,7,75,0,2,Personal Auto,Branch
AH84063,No,Extended,F,Married,121,11,20,4,1,Corporate Auto,Call Center
QA17596,No,Extended,F,Married,98,17,75,0,1,Personal Auto,Agent
XI41052,No,Extended,F,Single,139,16,14,0,1,Personal Auto,Call Center
DI30528,Yes,Basic,F,Married,69,2,70,1,1,Personal Auto,Web
SC66359,No,Basic,F,Married,110,29,42,0,1,Corporate Auto,Agent
EN61670,Yes,Basic,F,Married,66,32,30,0,7,Personal Auto,Branch
DQ10761,No,Basic,M,Single,73,14,39,1,1,Corporate Auto,Branch
BQ51587,No,Basic,F,Single,73,1,22,0,5,Personal Auto,Call Center
JE21522,No,Extended,M,Married,80,33,31,0,2,Personal Auto,Branch
WS47147,Yes,Basic,M,Married,102,35,48,0,2,Personal Auto,Branch
ZA64638,No,Extended,F,Single,98,24,11,1,2,Personal Auto,Web
EW38459,No,Basic,F,Married,65,2,75,0,1,Corporate Auto,Web
QW87316,No,Basic,F,Divorced,68,15,65,0,1,Personal Auto,Agent
IC43478,No,Extended,M,Single,98,23,82,0,2,Personal Auto,Call Center
TE34064,No,Basic,M,Single,63,1,56,0,1,Personal Auto,Agent
WU60905,No,Basic,F,Married,111,27,36,0,9,Corporate Auto,Web
YM18992,No,Basic,F,Divorced,71,7,47,0,1,Personal Auto,Agent
PD55753,No,Extended,M,Married,82,25,63,0,2,Personal Auto,Call Center
KU56006,No,Basic,F,Married,70,17,42,1,5,Personal Auto,Call Center
MJ69973,No,Basic,M,Married,74,17,73,0,1,Personal Auto,Call Center
TW43626,No,Basic,M,Married,67,6,5,0,2,Personal Auto,Agent
XX84133,No,Basic,M,Married,67,23,49,1,3,Corporate Auto,Call Center
ZW84453,No,Basic,F,Married,70,1,11,0,5,Personal Auto,Web
HO29524,No,Extended,M,Married,76,35,14,0,1,Personal Auto,Branch
VE89726,No,Basic,F,Single,119,6,48,1,8,Personal Auto,Branch
GE87503,No,Premium,M,Married,154,20,97,0,2,Personal Auto,Call Center
PX90263,No,Basic,M,Single,72,2,22,0,5,Personal Auto,Branch
NI17718,No,Basic,F,Single,61,28,31,0,1,Personal Auto,Web
FY32213,Yes,Basic,F,Single,71,25,29,0,3,Personal Auto,Call Center
RZ13254,No,Basic,F,Single,73,23,91,0,2,Personal Auto,Branch
GN45013,No,Basic,M,Married,71,1,69,0,3,Personal Auto,Agent
UB16654,No,Basic,M,Divorced,64,20,29,0,8,Personal Auto,Web
KU84464,No,Extended,F,Married,79,17,17,3,2,Personal Auto,Call Center
YH43527,No,Extended,F,Married,92,35,61,0,1,Corporate Auto,Agent
RO30676,No,Premium,F,Married,106,18,77,2,3,Personal Auto,Agent
QL59704,No,Basic,F,Married,74,34,32,2,2,Corporate Auto,Branch
QH19450,No,Basic,F,Single,72,7,77,0,1,Corporate Auto,Call Center
HR85211,No,Basic,F,Married,63,17,20,0,3,Personal Auto,Web
UV54502,No,Basic,F,Married,69,9,89,0,1,Personal Auto,Branch
WB38524,No,Basic,M,Married,74,27,28,0,1,Personal Auto,Branch
CE56187,No,Basic,F,Divorced,109,5,36,3,1,Personal Auto,Branch
JL19416,No,Premium,F,Single,161,29,1,0,1,Personal Auto,Agent
JZ61422,No,Basic,F,Single,66,2,95,0,3,Personal Auto,Agent
LA13377,No,Basic,M,Married,69,9,67,1,4,Personal Auto,Call Center
NC99948,No,Basic,M,Single,69,21,86,0,2,Personal Auto,Call Center
QD34785,Yes,Extended,F,Married,76,8,44,0,3,Personal Auto,Agent
RO26085,No,Basic,F,Single,112,28,30,0,2,Personal Auto,Agent
ES57969,Yes,Basic,M,Single,69,3,92,0,1,Personal Auto,Agent
JK55587,No,Basic,M,Married,65,18,90,0,7,Special Auto,Branch
