 satisfaccion , evaluacion ,numero_proyecto, horas_mensuales , antiguedad_empresa ,accidentes,promocionado,departamento,nivel_salario,abandono
 0.45 , 0.55 ,2, 140.00 , 3.00 ,0,0,recursos_humanos,bajo,Si
 0.84 , 0.87 ,4, 246.00 , 6.00 ,0,0,recursos_humanos,bajo,Si
 0.10 , 0.94 ,6, 255.00 , 4.00 ,0,0,tecnico,bajo,Si
 0.38 , 0.46 ,2, 137.00 , 3.00 ,0,0,tecnico,bajo,Si
 0.45 , 0.50 ,2, 126.00 , 3.00 ,0,0,tecnico,bajo,Si
 0.11 , 0.89 ,6, 306.00 , 4.00 ,0,0,tecnico,bajo,Si
 0.41 , 0.54 ,2, 152.00 , 3.00 ,0,0,tecnico,bajo,Si
 0.87 , 0.88 ,5, 269.00 , 5.00 ,0,0,tecnico,bajo,Si
 0.45 , 0.48 ,2, 158.00 , 3.00 ,0,0,tecnico,bajo,Si
 0.40 , 0.46 ,2, 127.00 , 3.00 ,0,0,tecnico,bajo,Si
 0.10 , 0.80 ,7, 281.00 , 4.00 ,0,0,tecnico,bajo,Si
 0.09 , 0.89 ,6, 276.00 , 4.00 ,0,0,tecnico,bajo,Si
 0.84 , 0.74 ,3, 182.00 , 4.00 ,0,0,tecnico,bajo,Si
 0.40 , 0.55 ,2, 147.00 , 3.00 ,0,0,soporte,bajo,Si
 0.57 , 0.70 ,3, 273.00 , 6.00 ,0,0,soporte,bajo,Si
 0.40 , 0.54 ,2, 148.00 , 3.00 ,0,0,soporte,bajo,Si
 0.43 , 0.47 ,2, 147.00 , 3.00 ,0,0,soporte,bajo,Si
 0.13 , 0.78 ,6, 152.00 , 2.00 ,0,0,soporte,bajo,Si
 0.44 , 0.55 ,2, 135.00 , 3.00 ,0,0,soporte,bajo,Si
 0.38 , 0.55 ,2, 134.00 , 3.00 ,0,0,soporte,bajo,Si
 0.39 , 0.54 ,2, 132.00 , 3.00 ,0,0,soporte,bajo,Si
 0.10 , 0.92 ,7, 307.00 , 4.00 ,0,0,soporte,bajo,Si
 0.37 , 0.46 ,2, 140.00 , 3.00 ,0,0,soporte,bajo,Si
 0.11 , 0.94 ,7, 255.00 , 4.00 ,0,0,soporte,bajo,Si
 0.10 , 0.81 ,6, 309.00 , 4.00 ,0,0,tecnico,bajo,Si
 0.38 , 0.54 ,2, 128.00 , 3.00 ,0,0,tecnico,bajo,Si
 0.85 , 1.00 ,4, 225.00 , 5.00 ,0,0,tecnico,bajo,Si
 0.85 , 0.91 ,5, 226.00 , 5.00 ,0,0,gerencia,intermedio,Si
 0.11 , 0.93 ,7, 308.00 , 4.00 ,0,0,IT,intermedio,Si
 0.10 , 0.95 ,6, 244.00 , 5.00 ,0,0,IT,intermedio,Si
 0.36 , 0.56 ,2, 132.00 , 3.00 ,0,0,IT,intermedio,Si
 0.11 , 0.94 ,6, 286.00 , 4.00 ,0,0,IT,intermedio,Si
 0.81 , 0.70 ,6, 161.00 , 4.00 ,0,0,IT,intermedio,Si
 0.43 , 0.54 ,2, 153.00 , 3.00 ,0,0,producto,intermedio,Si
 0.90 , 0.98 ,4, 264.00 , 6.00 ,0,0,producto,intermedio,Si
 0.76 , 0.86 ,5, 223.00 , 5.00 ,1,0,producto,intermedio,Si
 0.43 , 0.50 ,2, 135.00 , 3.00 ,0,0,producto,intermedio,Si
 0.74 , 0.99 ,2, 277.00 , 3.00 ,0,0,IT,intermedio,Si
 0.09 , 0.77 ,5, 275.00 , 4.00 ,0,0,producto,intermedio,Si
 0.45 , 0.49 ,2, 149.00 , 3.00 ,0,0,producto,alto,Si
 0.09 , 0.87 ,7, 295.00 , 4.00 ,0,0,producto,bajo,Si
 0.11 , 0.97 ,6, 277.00 , 4.00 ,0,0,producto,intermedio,Si
 0.11 , 0.79 ,7, 306.00 , 4.00 ,0,0,producto,intermedio,Si
 0.10 , 0.83 ,6, 295.00 , 4.00 ,0,0,producto,intermedio,Si
 0.40 , 0.54 ,2, 137.00 , 3.00 ,0,0,marketing,intermedio,Si
 0.43 , 0.56 ,2, 157.00 , 3.00 ,0,0,ventas,bajo,Si
 0.39 , 0.56 ,2, 142.00 , 3.00 ,0,0,contabilidad,bajo,Si
 0.45 , 0.54 ,2, 140.00 , 3.00 ,0,0,soporte,bajo,Si
 0.38 , 0.49 ,2, 151.00 , 3.00 ,0,0,tecnico,bajo,Si
 0.79 , 0.59 ,4, 139.00 , 3.00 ,0,1,gerencia,bajo,Si
 0.84 , 0.85 ,4, 249.00 , 6.00 ,0,0,marketing,bajo,Si
 0.11 , 0.77 ,6, 291.00 , 4.00 ,0,0,marketing,bajo,Si
 0.11 , 0.87 ,6, 305.00 , 4.00 ,0,0,marketing,bajo,Si
 0.17 , 0.84 ,5, 232.00 , 3.00 ,0,0,ventas,bajo,Si
 0.44 , 0.45 ,2, 132.00 , 3.00 ,0,0,ventas,bajo,Si
 0.37 , 0.57 ,2, 130.00 , 3.00 ,0,0,ventas,bajo,Si
 0.10 , 0.79 ,6, 291.00 , 4.00 ,0,0,ventas,bajo,Si
 0.40 , 0.50 ,2, 130.00 , 3.00 ,0,0,ventas,bajo,Si
 0.89 , 1.00 ,5, 246.00 , 5.00 ,0,0,ventas,bajo,Si
 0.42 , 0.48 ,2, 143.00 , 3.00 ,0,0,ventas,bajo,Si
 0.46 , 0.55 ,2, 129.00 , 3.00 ,0,0,ventas,bajo,Si
 0.09 , 0.83 ,6, 255.00 , 4.00 ,0,0,ventas,bajo,Si
 0.37 , 0.51 ,2, 155.00 , 3.00 ,0,0,ventas,bajo,Si
 0.10 , 0.77 ,6, 265.00 , 4.00 ,0,0,ventas,bajo,Si
 0.10 , 0.84 ,6, 279.00 , 4.00 ,0,0,ventas,bajo,Si
 0.11 , 0.97 ,6, 284.00 , 4.00 ,0,0,ventas,bajo,Si
 0.90 , 1.00 ,5, 221.00 , 6.00 ,0,0,ventas,intermedio,Si
 0.38 , 0.52 ,2, 154.00 , 3.00 ,0,0,ventas,intermedio,Si
 0.36 , 0.52 ,2, 147.00 , 3.00 ,0,0,ventas,intermedio,Si
 0.42 , 0.46 ,2, 150.00 , 3.00 ,0,0,ventas,intermedio,Si
 0.09 , 0.94 ,7, 267.00 , 4.00 ,0,0,ventas,intermedio,Si
 0.43 , 0.52 ,2, 158.00 , 3.00 ,0,0,ventas,intermedio,Si
 0.24 , 0.46 ,7, 224.00 , 5.00 ,0,0,contabilidad,intermedio,Si
 0.91 , 1.00 ,4, 257.00 , 5.00 ,0,0,contabilidad,intermedio,Si
 0.44 , 0.50 ,2, 148.00 , 3.00 ,0,0,contabilidad,intermedio,Si
 0.71 , 0.87 ,3, 177.00 , 4.00 ,0,0,recursos_humanos,intermedio,Si
 0.40 , 0.49 ,2, 155.00 , 3.00 ,0,0,recursos_humanos,intermedio,Si
 0.43 , 0.47 ,2, 144.00 , 3.00 ,0,0,recursos_humanos,intermedio,Si
 0.09 , 0.85 ,6, 289.00 , 4.00 ,0,0,recursos_humanos,alto,Si
 0.43 , 0.52 ,2, 160.00 , 3.00 ,0,0,tecnico,bajo,Si
 0.90 , 0.96 ,4, 258.00 , 5.00 ,0,0,tecnico,intermedio,Si
 0.84 , 1.00 ,5, 234.00 , 5.00 ,0,0,tecnico,intermedio,Si
 0.37 , 0.48 ,2, 137.00 , 3.00 ,0,0,tecnico,intermedio,Si
 0.86 , 0.68 ,5, 263.00 , 2.00 ,0,0,tecnico,intermedio,Si
 0.11 , 0.84 ,6, 251.00 , 4.00 ,0,0,tecnico,bajo,Si
 0.37 , 0.57 ,2, 133.00 , 3.00 ,0,0,tecnico,bajo,Si
 0.40 , 0.46 ,2, 132.00 , 3.00 ,0,0,tecnico,bajo,Si
 0.14 , 0.62 ,4, 158.00 , 4.00 ,1,0,tecnico,bajo,Si
 0.40 , 0.46 ,2, 135.00 , 3.00 ,0,0,tecnico,bajo,Si
 0.75 , 1.00 ,4, 216.00 , 6.00 ,0,0,tecnico,bajo,Si
 0.11 , 0.84 ,6, 300.00 , 5.00 ,1,0,soporte,bajo,Si
 0.46 , 0.49 ,2, 138.00 , 3.00 ,0,0,soporte,bajo,Si
 0.11 , 0.92 ,6, 260.00 , 4.00 ,0,0,soporte,bajo,Si
 0.38 , 0.49 ,2, 132.00 , 3.00 ,0,0,soporte,bajo,Si
 0.70 , 0.89 ,3, 183.00 , 5.00 ,0,0,soporte,bajo,Si
 0.09 , 0.82 ,6, 250.00 , 4.00 ,0,0,soporte,bajo,Si
 0.37 , 0.45 ,2, 151.00 , 3.00 ,0,0,soporte,bajo,Si
 0.10 , 0.83 ,6, 292.00 , 4.00 ,0,0,soporte,bajo,Si
 0.38 , 0.57 ,2, 140.00 , 3.00 ,0,0,soporte,bajo,Si
 0.90 , 1.00 ,5, 221.00 , 5.00 ,0,0,soporte,bajo,Si
 0.44 , 0.51 ,2, 138.00 , 3.00 ,0,0,soporte,bajo,Si
 0.36 , 0.50 ,2, 132.00 , 3.00 ,0,0,tecnico,bajo,Si
 0.31 , 0.84 ,7, 133.00 , 5.00 ,0,0,tecnico,bajo,Si
 0.10 , 0.84 ,6, 283.00 , 4.00 ,1,0,tecnico,bajo,Si
 0.42 , 0.48 ,2, 129.00 , 3.00 ,0,0,gerencia,bajo,Si
 0.74 , 1.00 ,4, 249.00 , 5.00 ,0,0,IT,bajo,Si
 0.73 , 0.87 ,5, 257.00 , 5.00 ,0,0,IT,bajo,Si
 0.09 , 0.96 ,6, 245.00 , 4.00 ,0,0,IT,bajo,Si
 0.45 , 0.53 ,2, 155.00 , 3.00 ,0,0,IT,bajo,Si
 0.11 , 0.80 ,6, 256.00 , 4.00 ,0,0,IT,bajo,Si
 0.37 , 0.47 ,2, 152.00 , 3.00 ,0,0,producto,bajo,Si
 0.84 , 0.99 ,4, 267.00 , 5.00 ,0,0,producto,bajo,Si
 0.41 , 0.46 ,2, 151.00 , 3.00 ,0,0,producto,bajo,Si
 0.76 , 0.92 ,4, 239.00 , 5.00 ,0,0,producto,bajo,Si
 0.11 , 0.87 ,6, 306.00 , 4.00 ,0,0,IT,bajo,Si
 0.84 , 0.88 ,4, 263.00 , 5.00 ,1,0,marketing,bajo,Si
 0.39 , 0.50 ,2, 147.00 , 3.00 ,0,0,marketing,bajo,Si
 0.11 , 0.91 ,6, 278.00 , 4.00 ,0,0,marketing,bajo,Si
 0.45 , 0.56 ,2, 154.00 , 3.00 ,0,0,marketing,bajo,Si
 0.37 , 0.52 ,2, 143.00 , 3.00 ,0,0,marketing,bajo,Si
 0.40 , 0.52 ,2, 155.00 , 3.00 ,0,0,marketing,bajo,Si
 0.39 , 0.48 ,2, 160.00 , 3.00 ,0,0,ventas,bajo,Si
 0.11 , 0.80 ,6, 304.00 , 4.00 ,0,0,contabilidad,bajo,Si
 0.83 , 1.00 ,5, 240.00 , 5.00 ,0,0,soporte,bajo,Si
 0.11 , 0.92 ,6, 305.00 , 4.00 ,0,0,tecnico,bajo,Si
 0.39 , 0.50 ,2, 136.00 , 3.00 ,0,0,gerencia,bajo,Si
 0.45 , 0.45 ,2, 132.00 , 3.00 ,0,0,marketing,bajo,Si
 0.10 , 0.95 ,7, 301.00 , 4.00 ,0,0,marketing,bajo,Si
 0.90 , 0.98 ,5, 243.00 , 6.00 ,0,0,marketing,bajo,Si
 0.45 , 0.51 ,2, 147.00 , 3.00 ,0,0,ventas,bajo,Si
 0.79 , 0.89 ,5, 239.00 , 5.00 ,0,0,ventas,bajo,Si
 0.90 , 0.99 ,5, 260.00 , 5.00 ,0,0,ventas,bajo,Si
 0.11 , 0.84 ,7, 296.00 , 4.00 ,0,0,ventas,bajo,Si
 0.43 , 0.55 ,2, 129.00 , 3.00 ,0,0,ventas,bajo,Si
 0.31 , 0.54 ,5, 132.00 , 5.00 ,0,0,ventas,bajo,Si
 0.32 , 0.50 ,2, 135.00 , 5.00 ,0,0,ventas,bajo,Si
 0.45 , 0.57 ,2, 158.00 , 3.00 ,0,0,ventas,bajo,Si
 0.81 , 0.99 ,4, 259.00 , 5.00 ,0,0,ventas,bajo,Si
 0.41 , 0.46 ,2, 160.00 , 3.00 ,0,1,ventas,bajo,Si
 0.11 , 0.78 ,7, 278.00 , 4.00 ,0,0,ventas,bajo,Si
 0.10 , 0.88 ,6, 284.00 , 4.00 ,0,0,ventas,bajo,Si
 0.70 , 0.53 ,2, 274.00 , 4.00 ,0,0,ventas,bajo,Si
 0.54 , 0.74 ,4, 164.00 , 2.00 ,0,0,ventas,bajo,Si
 0.41 , 0.48 ,2, 148.00 , 3.00 ,0,0,ventas,bajo,Si
 0.38 , 0.50 ,2, 140.00 , 3.00 ,0,0,ventas,intermedio,Si
 0.37 , 0.51 ,2, 127.00 , 3.00 ,0,0,ventas,intermedio,Si
 0.11 , 0.85 ,6, 308.00 , 5.00 ,0,0,ventas,intermedio,Si
 0.40 , 0.47 ,2, 146.00 , 3.00 ,0,0,ventas,intermedio,Si
 0.10 , 0.84 ,6, 261.00 , 4.00 ,0,0,contabilidad,intermedio,Si
 0.89 , 0.99 ,5, 257.00 , 5.00 ,0,0,contabilidad,intermedio,Si
 0.11 , 0.80 ,6, 285.00 , 4.00 ,0,0,contabilidad,intermedio,Si
 0.36 , 0.55 ,2, 141.00 , 3.00 ,0,0,recursos_humanos,intermedio,Si
 0.40 , 0.46 ,2, 127.00 , 3.00 ,0,0,recursos_humanos,intermedio,Si
 0.09 , 0.85 ,6, 297.00 , 4.00 ,0,0,recursos_humanos,intermedio,Si
 0.40 , 0.46 ,2, 143.00 , 3.00 ,0,0,recursos_humanos,intermedio,Si
 0.37 , 0.55 ,2, 152.00 , 3.00 ,0,0,tecnico,intermedio,Si
 0.44 , 0.51 ,2, 156.00 , 3.00 ,0,0,tecnico,alto,Si
 0.09 , 0.80 ,7, 283.00 , 5.00 ,0,0,tecnico,bajo,Si
 0.92 , 0.87 ,4, 226.00 , 6.00 ,1,0,tecnico,intermedio,Si
 0.74 , 0.91 ,4, 232.00 , 5.00 ,0,0,tecnico,intermedio,Si
 0.09 , 0.82 ,6, 249.00 , 4.00 ,0,0,tecnico,intermedio,Si
 0.89 , 0.95 ,4, 275.00 , 5.00 ,0,0,tecnico,intermedio,Si
 0.09 , 0.80 ,6, 304.00 , 4.00 ,0,0,tecnico,bajo,Si
 0.27 , 0.54 ,7, 278.00 , 3.00 ,0,0,tecnico,bajo,Si
 0.10 , 0.91 ,6, 287.00 , 4.00 ,0,0,tecnico,bajo,Si
 0.10 , 0.89 ,7, 285.00 , 4.00 ,0,0,tecnico,bajo,Si
 0.77 , 0.94 ,5, 226.00 , 6.00 ,0,0,soporte,bajo,Si
 0.90 , 0.82 ,5, 259.00 , 5.00 ,0,0,soporte,bajo,Si
 0.39 , 0.50 ,2, 135.00 , 3.00 ,0,0,soporte,bajo,Si
 0.76 , 1.00 ,5, 219.00 , 5.00 ,0,0,soporte,bajo,Si
 0.10 , 0.93 ,6, 256.00 , 4.00 ,0,0,soporte,bajo,Si
 0.87 , 0.90 ,5, 254.00 , 6.00 ,0,0,soporte,bajo,Si
 0.38 , 0.50 ,2, 153.00 , 3.00 ,0,0,soporte,bajo,Si
 0.77 , 0.99 ,5, 228.00 , 5.00 ,0,0,soporte,bajo,Si
 0.78 , 0.87 ,4, 228.00 , 5.00 ,0,0,soporte,bajo,Si
 0.44 , 0.50 ,2, 128.00 , 3.00 ,0,0,soporte,bajo,Si
 0.38 , 0.52 ,2, 153.00 , 3.00 ,0,0,soporte,bajo,Si
 0.43 , 0.46 ,2, 156.00 , 3.00 ,0,0,tecnico,bajo,Si
 0.39 , 0.50 ,4, 294.00 , 3.00 ,0,0,tecnico,bajo,Si
 0.88 , 1.00 ,5, 219.00 , 5.00 ,0,0,tecnico,bajo,Si
 0.45 , 0.46 ,2, 153.00 , 3.00 ,0,0,gerencia,bajo,Si
 0.40 , 0.53 ,2, 151.00 , 3.00 ,0,0,IT,bajo,Si
 0.36 , 0.51 ,2, 155.00 , 3.00 ,0,0,IT,bajo,Si
 0.36 , 0.48 ,2, 158.00 , 3.00 ,0,0,IT,bajo,Si
 0.90 , 0.98 ,5, 245.00 , 5.00 ,0,0,IT,bajo,Si
 0.43 , 0.53 ,2, 131.00 , 3.00 ,0,0,IT,bajo,Si
 0.89 , 0.87 ,5, 225.00 , 5.00 ,0,0,producto,bajo,Si
 0.10 , 0.84 ,6, 286.00 , 4.00 ,0,0,producto,bajo,Si
 0.37 , 0.50 ,2, 135.00 , 3.00 ,0,0,producto,bajo,Si
 0.37 , 0.51 ,2, 153.00 , 3.00 ,0,0,producto,bajo,Si
 0.87 , 0.90 ,5, 252.00 , 5.00 ,0,0,IT,bajo,Si
 0.40 , 0.56 ,2, 149.00 , 3.00 ,0,0,contabilidad,bajo,Si
 0.90 , 0.97 ,4, 258.00 , 5.00 ,0,0,contabilidad,bajo,Si
 0.37 , 0.46 ,2, 158.00 , 3.00 ,0,0,recursos_humanos,bajo,Si
 0.44 , 0.54 ,2, 149.00 , 3.00 ,0,0,recursos_humanos,bajo,Si
 0.85 , 0.95 ,5, 236.00 , 5.00 ,0,0,recursos_humanos,bajo,Si
 0.78 , 0.98 ,5, 239.00 , 6.00 ,0,0,marketing,bajo,Si
 0.42 , 0.47 ,2, 159.00 , 3.00 ,0,0,marketing,bajo,Si
 0.92 , 0.99 ,5, 255.00 , 6.00 ,0,0,ventas,bajo,Si
 0.11 , 0.83 ,6, 244.00 , 4.00 ,0,0,contabilidad,bajo,Si
 0.42 , 0.56 ,2, 134.00 , 3.00 ,0,0,soporte,bajo,Si
 0.48 , 0.57 ,4, 270.00 , 4.00 ,0,0,tecnico,bajo,Si
 0.83 , 0.85 ,4, 255.00 , 5.00 ,0,0,gerencia,bajo,Si
 0.40 , 0.53 ,2, 151.00 , 3.00 ,0,0,marketing,bajo,Si
 0.43 , 0.45 ,2, 135.00 , 3.00 ,0,0,marketing,bajo,Si
 0.43 , 0.53 ,2, 146.00 , 3.00 ,0,0,marketing,bajo,Si
 0.10 , 0.97 ,7, 254.00 , 4.00 ,0,0,ventas,bajo,Si
 0.10 , 0.87 ,7, 289.00 , 4.00 ,0,0,ventas,bajo,Si
 0.37 , 0.46 ,2, 156.00 , 3.00 ,0,0,ventas,bajo,Si
 0.38 , 0.53 ,2, 156.00 , 3.00 ,0,0,ventas,bajo,Si
 0.40 , 0.50 ,2, 128.00 , 3.00 ,0,0,ventas,bajo,Si
 0.89 , 0.86 ,5, 275.00 , 5.00 ,0,0,ventas,bajo,Si
 0.45 , 0.46 ,2, 155.00 , 3.00 ,0,0,ventas,bajo,Si
 0.37 , 0.48 ,2, 159.00 , 3.00 ,0,0,ventas,bajo,Si
 0.46 , 0.49 ,2, 148.00 , 3.00 ,0,0,ventas,bajo,Si
 0.87 , 0.91 ,4, 228.00 , 5.00 ,0,0,ventas,bajo,Si
 0.11 , 0.84 ,6, 298.00 , 4.00 ,0,0,ventas,bajo,Si
 0.79 , 0.87 ,5, 261.00 , 5.00 ,0,0,ventas,bajo,Si
 0.79 , 0.92 ,5, 254.00 , 6.00 ,0,0,ventas,bajo,Si
 0.19 , 0.59 ,7, 192.00 , 3.00 ,0,0,ventas,bajo,Si
 0.87 , 0.98 ,4, 248.00 , 5.00 ,0,0,ventas,bajo,Si
 0.60 , 0.92 ,2, 258.00 , 5.00 ,0,0,ventas,bajo,Si
 0.44 , 0.45 ,2, 156.00 , 3.00 ,0,0,ventas,intermedio,Si
 0.11 , 0.81 ,6, 266.00 , 4.00 ,1,0,ventas,intermedio,Si
 0.42 , 0.54 ,2, 156.00 , 3.00 ,0,0,ventas,intermedio,Si
 0.88 , 0.88 ,5, 232.00 , 5.00 ,1,0,contabilidad,intermedio,Si
 0.11 , 0.84 ,6, 287.00 , 4.00 ,0,0,contabilidad,intermedio,Si
 0.46 , 0.46 ,2, 154.00 , 3.00 ,0,0,contabilidad,intermedio,Si
 0.82 , 0.97 ,5, 263.00 , 5.00 ,0,0,recursos_humanos,intermedio,Si
 0.44 , 0.56 ,2, 131.00 , 3.00 ,0,0,recursos_humanos,intermedio,Si
 0.11 , 0.78 ,6, 260.00 , 4.00 ,0,0,recursos_humanos,intermedio,Si
 0.42 , 0.50 ,2, 139.00 , 3.00 ,0,0,recursos_humanos,intermedio,Si
 0.84 , 0.93 ,4, 251.00 , 5.00 ,0,0,tecnico,intermedio,Si
 0.11 , 0.95 ,6, 286.00 , 4.00 ,0,0,tecnico,intermedio,Si
 0.45 , 0.53 ,2, 129.00 , 3.00 ,0,0,tecnico,alto,Si
 0.38 , 0.56 ,2, 156.00 , 3.00 ,0,0,tecnico,bajo,Si
 0.38 , 0.86 ,6, 139.00 , 6.00 ,0,0,tecnico,intermedio,Si
 0.44 , 0.51 ,2, 127.00 , 3.00 ,0,0,tecnico,intermedio,Si
 0.11 , 0.84 ,6, 251.00 , 4.00 ,0,0,tecnico,intermedio,Si
 0.81 , 0.93 ,5, 270.00 , 5.00 ,0,0,tecnico,intermedio,Si
 0.09 , 0.96 ,6, 296.00 , 4.00 ,0,0,tecnico,bajo,Si
 0.11 , 0.90 ,6, 254.00 , 4.00 ,0,0,tecnico,bajo,Si
 0.81 , 0.95 ,5, 238.00 , 6.00 ,0,0,tecnico,bajo,Si
 0.10 , 0.97 ,6, 267.00 , 4.00 ,1,0,soporte,bajo,Si
 0.74 , 0.89 ,5, 229.00 , 6.00 ,0,0,soporte,bajo,Si
 0.09 , 0.78 ,6, 254.00 , 4.00 ,0,0,soporte,bajo,Si
 0.82 , 0.81 ,4, 233.00 , 4.00 ,1,0,soporte,bajo,Si
 0.10 , 0.98 ,6, 268.00 , 4.00 ,0,0,soporte,bajo,Si
 0.27 , 0.56 ,3, 301.00 , 3.00 ,0,0,soporte,bajo,Si
 0.83 , 0.92 ,5, 267.00 , 6.00 ,0,0,soporte,bajo,Si
 0.10 , 0.93 ,6, 289.00 , 4.00 ,1,0,soporte,bajo,Si
 0.38 , 0.47 ,2, 144.00 , 3.00 ,0,0,soporte,bajo,Si
 0.40 , 0.56 ,2, 148.00 , 3.00 ,0,0,soporte,bajo,Si
 0.11 , 0.83 ,6, 306.00 , 4.00 ,0,0,soporte,bajo,Si
 0.11 , 0.79 ,6, 292.00 , 4.00 ,0,1,tecnico,bajo,Si
 0.82 , 0.91 ,5, 232.00 , 5.00 ,0,0,tecnico,bajo,Si
 0.36 , 0.48 ,2, 137.00 , 3.00 ,0,0,tecnico,bajo,Si
 0.40 , 0.46 ,2, 128.00 , 3.00 ,0,0,gerencia,bajo,Si
 0.87 , 0.84 ,5, 231.00 , 5.00 ,0,0,IT,bajo,Si
 0.41 , 0.49 ,2, 146.00 , 3.00 ,0,0,IT,bajo,Si
 0.11 , 0.91 ,6, 308.00 , 4.00 ,1,0,IT,bajo,Si
 0.10 , 0.93 ,6, 253.00 , 4.00 ,0,0,IT,intermedio,Si
 0.38 , 0.51 ,2, 146.00 , 3.00 ,0,0,IT,intermedio,Si
 0.39 , 0.55 ,2, 156.00 , 3.00 ,0,0,producto,intermedio,Si
 0.40 , 0.52 ,2, 147.00 , 3.00 ,0,0,producto,intermedio,Si
 0.45 , 0.48 ,2, 136.00 , 3.00 ,0,0,producto,intermedio,Si
 0.74 , 0.84 ,5, 249.00 , 5.00 ,0,0,producto,intermedio,Si
 0.45 , 0.55 ,2, 151.00 , 3.00 ,0,0,IT,intermedio,Si
 0.12 , 1.00 ,3, 278.00 , 4.00 ,0,0,laboratorio,intermedio,Si
 0.10 , 0.77 ,7, 250.00 , 5.00 ,0,0,laboratorio,intermedio,Si
 0.37 , 0.55 ,2, 127.00 , 3.00 ,0,0,laboratorio,intermedio,Si
 0.89 , 0.87 ,5, 255.00 , 5.00 ,0,0,laboratorio,intermedio,Si
 0.45 , 0.47 ,2, 135.00 , 3.00 ,0,0,laboratorio,intermedio,Si
 0.37 , 0.46 ,2, 149.00 , 3.00 ,0,0,marketing,alto,Si
 0.11 , 0.81 ,5, 287.00 , 4.00 ,0,0,ventas,bajo,Si
 0.41 , 0.48 ,2, 145.00 , 3.00 ,0,0,contabilidad,intermedio,Si
 0.10 , 0.94 ,6, 285.00 , 4.00 ,0,0,soporte,intermedio,Si
 0.10 , 0.93 ,7, 305.00 , 4.00 ,0,0,tecnico,intermedio,Si
 0.11 , 0.95 ,7, 300.00 , 4.00 ,0,0,gerencia,intermedio,Si
 0.40 , 0.54 ,2, 139.00 , 3.00 ,0,0,marketing,bajo,Si
 0.41 , 0.49 ,2, 130.00 , 3.00 ,0,0,marketing,bajo,Si
 0.10 , 0.81 ,6, 268.00 , 4.00 ,0,0,marketing,bajo,Si
 0.73 , 0.86 ,4, 245.00 , 6.00 ,0,0,ventas,bajo,Si
 0.43 , 0.47 ,2, 135.00 , 3.00 ,0,0,ventas,bajo,Si
