,fund_name,fund_category,category_return_2009,fund_return_2008,category_return_2008,fund_return_2007,category_return_2007,fund_return_2006,category_return_2006,fund_return_2005,category_return_2005,fund_return_2004,category_return_2004,fund_return_2003,category_return_2003,fund_return_2002,category_return_2002,fund_return_2001,category_return_2001,fund_return_2000,category_return_2000,fund_alpha_3years,fund_beta_3years,fund_mean_annual_return_3years,fund_r_squared_3years,fund_stdev_3years,fund_sharpe_ratio_3years,fund_treynor_ratio_3years,fund_alpha_5years,fund_beta_5years,fund_mean_annual_return_5years,fund_r_squared_5years,fund_stdev_5years,fund_sharpe_ratio_5years,fund_treynor_ratio_5years,fund_alpha_10years,fund_beta_10years,fund_mean_annual_return_10years,fund_r_squared_10years,fund_stdev_10years,fund_sharpe_ratio_10years,fund_treynor_ratio_10years
25,unlisted,Tactical Allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72,1.61,1.6,92.43,19.03,0.94,10.98,2.49,1.6,1.52,88.58,15.56,1.09,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,unlisted,Trading--Leveraged Commodities,0.58209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.41,2.3,3.03,25.58,69.83,0.5,6.48,9.42,2.06,1.23,20.92,57.35,0.24,-0.46,8.04,2.52,-0.15,33.86,60.64,-0.04,-7.4
27,unlisted,Short Government,0.00536,0.0,0.04708,0.0,0.07302,0.0,0.03829,0.0,0.01481,0.0,0.00798,0.0,0.01783,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.59,0.35,71.49,2.44,1.24,5.08,0.1,0.6,0.2,78.09,2.24,0.57,2.05,0.01,0.61,0.19,83.36,2.03,0.86,2.8
28,unlisted,Nontraditional Bond,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.11,0.17,2.83,2.26,0.34,6.66,0.84,0.06,0.17,1.1,1.8,0.52,15.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Cavanal Hill Bond Fd Cl A Shs,Pacific/Asia ex-Japan Stk,0.73761,-0.45942,-0.51342,0.0,0.39069,0.0,0.37975,0.0,0.14049,0.0,0.21046,0.0,0.38684,0.0,-0.07992,0.0,0.02745,0.0,-0.16595,7.06,0.88,1.37,65.35,19.1,0.79,16.5,7.22,0.92,1.5,66.14,16.54,1.02,18.28,4.23,0.97,0.88,71.71,17.32,0.57,9.06
30,American Beacon Balanced Fund I,Large Growth,0.41318,0.0,-0.41574,0.0,0.09633,0.0,0.0998,0.0,0.02725,0.0,0.0698,0.0,0.30929,0.0,-0.27831,0.0,-0.19168,0.0,-0.3694,-1.77,1.12,1.6,83.08,22.66,0.79,15.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,unlisted,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,unlisted,Industrials,0.29262,0.0,-0.32136,0.0,0.153,0.0,0.13528,0.0,0.05828,0.0,0.20569,0.0,0.32411,0.0,-0.24845,0.0,-0.10337,0.0,0.06938,-2.43,1.38,1.52,85.21,26.96,0.63,10.38,0.11,1.31,1.59,66.28,23.32,0.77,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,American Fds 2015 Target Date R,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.31,1.12,1.67,83.49,22.63,0.83,15.82,-0.31,1.11,1.55,82.12,18.42,0.94,15.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,unlisted,Large Value,0.25157,0.0,-0.35846,0.0,0.01809,0.0,0.20182,0.0,0.05311,0.0,0.14458,0.0,0.30804,0.0,-0.17206,0.0,-0.0626,0.0,0.06973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,unlisted,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.18,0.4,0.3,73.09,8.3,0.28,5.23,-3.62,0.39,0.23,70.99,6.66,0.25,3.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,unlisted,Allocation--70% to 85% Equity,0.2638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.44,2.05,0.79,79.84,26.16,0.32,2.23,-10.53,1.97,0.72,77.17,20.6,0.36,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,unlisted,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,"Cavanal Hill Active Core Fund, ",Energy Limited Partnership,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.94,2.08,0.87,60.27,48.2,0.19,-1.38,-22.63,2.0,0.48,57.6,38.45,0.12,-1.53,-10.05,1.46,0.41,46.53,30.08,0.14,-0.27
39,American Century Strategic Allo,Energy Limited Partnership,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.87,2.05,0.84,60.61,47.39,0.19,-1.5,-23.04,1.97,0.41,58.21,37.57,0.1,-1.91,-9.68,1.35,0.36,44.36,28.55,0.13,-0.53
40,American Century Strategic Allo,Energy Limited Partnership,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Invesco Greater China Fund Cl A,Large Growth,0.41318,0.0,-0.41574,0.0,0.09633,0.0,0.0998,0.0,0.02725,0.0,0.0698,0.0,0.30929,0.0,-0.27831,0.0,-0.19168,0.0,-0.3694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,American Century Strategic Allo,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,unlisted,Energy Limited Partnership,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.74,2.9,0.6,65.25,64.69,0.09,-5.82,-34.37,2.76,0.37,62.67,50.82,0.06,-4.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,American Beacon Mid-Cap Value F,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,unlisted,High Yield Bond,0.41327,0.0,-0.29406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07427,0.0,0.0,0.0,0.0,0.0,0.0,5.15,0.95,0.85,8.1,11.36,0.79,9.24,6.66,0.79,0.78,7.66,9.08,0.89,10.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,unlisted,Allocation--70% to 85% Equity,0.2638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.32,1.26,1.06,98.97,14.43,0.79,8.74,-0.53,1.27,1.01,98.76,11.67,0.94,8.65,-0.66,1.32,0.82,97.54,11.41,0.81,6.81
47,unlisted,Allocation--30% to 50% Equity,0.08868,0.0,-0.0199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27,0.54,0.66,93.28,6.28,1.06,12.62,0.34,0.55,0.54,90.28,5.25,1.01,9.82,0.93,0.52,0.45,88.59,4.67,1.02,9.33
48,unlisted,Allocation--30% to 50% Equity,0.08868,0.0,-0.0199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.68,0.74,97.43,7.77,0.97,11.32,0.2,0.69,0.63,95.96,6.4,1.0,9.48,0.55,0.69,0.53,95.69,5.98,0.95,8.29
49,"Opportunistic Fund, Class C Sha",Allocation--50% to 70% Equity,0.33211,0.0,-0.42351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27,0.97,0.9,99.18,11.05,0.86,9.69,-0.16,0.98,0.82,98.85,8.99,0.97,8.98,0.17,0.99,0.68,98.28,8.46,0.89,7.6
50,unlisted,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,unlisted,Natural Resources,0.60487,0.0,-0.46215,0.0,0.32767,0.0,0.14892,0.0,0.35228,0.0,0.31397,0.0,0.33469,0.0,-0.07207,0.0,-0.15082,0.0,0.24303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,American Century Strategic Allo,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,unlisted,Ultrashort Bond,0.0,0.0,0.01688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,0.06,0.12,9.07,0.74,0.28,3.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,American Fds 2020 Target Date R,Miscellaneous Region,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.92,1.64,1.13,55.03,39.04,0.32,2.81,-5.32,1.64,1.08,54.1,32.66,0.36,4.0,-3.06,1.43,0.49,53.11,29.64,0.18,0.54
55,unlisted,Technology,0.76085,0.0,-0.4716,0.0,0.08189,0.0,0.09552,0.0,0.01256,0.0,0.06733,0.0,0.65015,0.0,-0.44541,0.0,-0.32203,0.0,-0.42203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,unlisted,Health,0.2568,0.0,-0.24887,0.0,0.09566,0.0,0.06282,0.0,0.06572,0.0,0.03509,0.0,0.27339,0.0,-0.28174,0.0,-0.13345,0.0,0.0,25.99,1.52,4.04,48.14,39.28,1.2,32.21,19.74,1.52,3.47,41.47,34.37,1.18,27.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,unlisted,Mid-Cap Growth,0.39665,0.0,-0.44885,0.0,0.11758,0.0,0.08125,0.0,0.12716,0.0,0.13765,0.0,0.36522,0.0,-0.23477,0.0,-0.08225,0.0,0.0,15.79,1.56,3.72,59.46,37.57,1.15,28.3,18.72,1.53,3.74,53.37,31.49,1.39,30.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,unlisted,Technology,0.76085,0.0,-0.4716,0.0,0.08189,0.0,0.09552,0.0,0.01256,0.0,0.06733,0.0,0.65015,0.0,-0.44541,0.0,-0.32203,0.0,-0.42203,16.24,1.34,3.02,66.62,29.48,1.18,26.96,14.54,1.37,2.86,65.14,24.6,1.34,25.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Invesco Select Risk: Growth Inv,Technology,0.76085,0.0,-0.4716,0.0,0.08189,0.0,0.09552,0.0,0.01256,0.0,0.06733,0.0,0.65015,0.0,-0.44541,0.0,-0.32203,0.0,-0.42203,22.96,1.44,3.7,61.96,32.86,1.31,31.97,25.68,1.41,3.84,55.97,27.4,1.63,35.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,American Beacon Balanced Fund I,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Invesco Select Risk: Growth Inv,Large Blend,0.32264,0.0,-0.38047,0.0,0.04402,0.0,0.15549,0.0,0.04685,0.0,0.12554,0.0,0.29092,0.0,-0.17842,0.0,-0.05751,0.0,-0.05243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,American Beacon Large Cap Value,Pacific/Asia ex-Japan Stk,0.73761,0.0,-0.51342,0.0,0.39069,0.0,0.37975,0.0,0.14049,0.0,0.21046,0.0,0.38684,0.0,-0.07992,0.0,0.02745,0.0,-0.16595,-8.75,1.09,0.22,81.72,21.25,0.06,-0.8,-7.18,1.08,0.44,78.4,17.8,0.23,2.38,-3.34,0.96,0.24,72.17,17.06,0.13,0.85
63,Aasgard Small & Mid-Cap Fund,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.43,0.87,0.83,86.25,16.84,0.52,8.84,-5.07,0.86,0.65,81.87,13.87,0.48,6.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,unlisted,China Region,0.67665,0.0,-0.50899,0.0,0.42833,0.0,0.46139,0.0,0.05902,0.0,0.16256,0.0,0.3835,0.0,-0.22312,0.0,-0.06992,0.0,-0.14001,9.26,0.79,1.48,37.3,22.73,0.73,19.33,4.38,0.8,1.16,33.85,20.1,0.63,14.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Invesco Select Risk: Growth Inv,China Region,0.67665,0.0,-0.50899,0.0,0.42833,0.0,0.46139,0.0,0.05902,0.0,0.16256,0.0,0.3835,0.0,-0.22312,0.0,-0.06992,0.0,-0.14001,5.6,0.68,1.09,24.47,24.12,0.49,14.25,-2.98,0.64,0.41,20.5,20.71,0.18,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,unlisted,China Region,0.67665,0.0,-0.50899,0.0,0.42833,0.0,0.46139,0.0,0.05902,0.0,0.16256,0.0,0.3835,0.0,-0.22312,0.0,-0.06992,0.0,-0.14001,12.06,0.75,1.69,34.78,22.5,0.84,24.12,5.13,0.72,1.15,28.28,19.79,0.64,15.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,unlisted,Long-Short Equity,0.3145,0.0,-0.29481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,unlisted,Large Growth,0.41318,0.0,-0.41574,0.0,0.09633,0.0,0.0998,0.0,0.02725,0.0,0.0698,0.0,0.30929,0.0,-0.27831,0.0,-0.19168,0.0,-0.3694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,Invesco Select Risk: Growth Inv,Energy Limited Partnership,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.87,1.87,0.8,63.02,42.35,0.2,-0.47,-18.99,1.79,0.55,59.33,33.89,0.16,-0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
